usuario,status,mfa_ativo,setor
joao.silva,ativo,True,Vendas
maria.santos,ativo,True,Financeiro
carlos.lima,ativo,True,TI
ana.souza,ativo,True,RH
pedro.alves,ativo,True,Comercial
lucia.martins,ativo,True,Financeiro
rafael.costa,ativo,True,TI
julia.rocha,ativo,True,Marketing
fernando.dias,ativo,True,Logística
paula.castro,ativo,True,Vendas
marcos.nunes,ativo,True,TI
beatriz.moreira,ativo,True,RH
tiago.ferreira,ativo,True,Comercial
camila.ribeiro,ativo,True,Financeiro
gabriel.teixeira,ativo,True,TI
renata.cardoso,ativo,True,Marketing
ricardo.monteiro,ativo,False,Logística
ex.funcionario01,inativo,True,TI
ex.funcionario02,inativo,False,Vendas
